stage,Endothelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,2.68,0,0
3Month,0,0,0,0,0,0,0,0.64,0.64
22Month,0.55,1.09,1.09,0,0.55,0.55,0,1.09,0
