stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,3.52,0.64,1.92,0.96,0.32,0.32,0.32,0.32,0.32,0.32,0,0.32,0
22Month,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0
