stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,4.28,0,0,0,90.93,23.54,0,2.14,4.28,0,0,2.14,2.14,0,0,0,0
21Day,2.68,0,2.68,0,0,0,0,0,0,0,4.02,0,0,2.68,0,2.68,0,1.34,0,21.42,5.35,0,0,2.68,0,0,2.68,1.34,1.34,0,0,0
3Month,0.32,0,3.84,0.32,0,0.32,2.88,0.32,4.8,1.92,0,2.24,0.32,1.92,3.2,2.24,0.32,0.32,0.96,0.64,0.32,0.32,0,0,0.32,20.48,0,0,0,0.96,61.75,3.52
22Month,0,1.09,1.09,0,0,0,1.09,0,13.12,2.19,0.55,1.09,0,0,3.28,2.73,0,1.64,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,2.19
