stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,8.17,8.17,4.09,0,8.17,81.73,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,3.21,1.07,1.07,25.67,8.56,1.07,0,0,0
21Day,2.68,5.35,1.34,0,0,0,12.05,2.68,0,9.37,0,5.35,0,1.34,1.34
3Month,0,0.64,0,0.32,0.32,0,1.28,0,0,0,0,0,0.64,0,0
