stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0
21Day,62.91,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,2.68,0,0,8.03,2.68,0,0,0,0,0,0,0,0,0,1.34
3Month,85.11,1.92,7.36,0,0.32,0.32,1.28,16.96,2.24,0.32,1.6,0.32,2.56,0.96,2.56,0.64,6.4,0,0.32,0.32,0.32,0,0.32,0.64,29.44,0.32,4.16,52.79,2.56
22Month,10.39,1.64,1.09,0.55,0,0,1.09,8.2,1.09,0,1.09,0,0,0.55,1.09,0,1.09,0,0,0.55,0,1.09,0,0,11.48,0,0,0,0
