stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0
21Day,1.34,0,0,0,0,5.35,0,1.34,1.34,0,0,0,0,1.34
3Month,1.28,0.32,0.32,0.32,0,0,0.32,23.04,0.32,0.32,0,0.32,0.32,3.2
22Month,0,0,0,2.19,1.64,0.55,0,12.03,0,0,0.55,0,0,1.09
