stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,4.09,0,0,0,20.43
72hpf,0,0,0,1.07,35.3,2.14
21Day,0,0,0,0,1.34,0
22Month,0.55,0,0.55,0,2.73,0
