stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,12.26,0,0,4.09,65.38,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,2.14,0,5.35,0,0,14.98,6.42,0,0,0,1.07,0
21Day,5.35,6.69,0,0,2.68,0,0,0,1.34,5.35,1.34,0,2.68,1.34,1.34,0,0,0,0
3Month,0,0.96,0.32,0.32,0,0.96,0.32,0,0.32,0,0,0.32,0.32,0,0,0.32,0.64,0,0.96
22Month,0,0.55,0.55,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
