stage,Cardiomyocyte,Endothelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,4.09,0,4.09,0,0,12.26,0,0,0
72hpf,0,3.21,0,1.07,12.84,6.42,3.21,0,0
21Day,0,0,0,2.68,46.85,5.35,1.34,5.35,1.34
