stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,2.24,0.32,0.32,0,20.48,0.32,0.64,1.28,0,0,0.64,0,0,0,0,1.28,0,0.32,6.4,0,0.32,0.64
22Month,4.37,1.09,0,0.55,106.05,0,1.64,0.55,0.55,0.55,0.55,1.09,0.55,0,0,0,0.55,0,3.83,0.55,0,1.09
