stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,1.07,0,2.14,0,2.14,0,41.72,11.77,1.07,0,0,0,0,0,0,0
21Day,4.02,0,12.05,1.34,0,0,0,0,0,0,1.34,0,1.34,0,24.09,5.35,6.69,1.34,2.68,0,8.03,1.34,0,0
3Month,0,0,1.28,0,0.32,0,1.6,0,0,0.96,0.32,0.32,0.64,0,0,0,0.32,0,0,1.28,0,0,1.28,0
22Month,0,1.64,0,0,1.64,0.55,8.75,0.55,0,1.64,0,2.19,1.09,0.55,0,0.55,36.63,0.55,0,3.83,0,0,0,0.55
