stage,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0,1.07,0,0,0
21Day,0,1.34,0,4.02,5.35,1.34,1.34,1.34,0,0
3Month,0.32,0,0.32,0.64,0.32,0,0,0,0.64,0.32
22Month,0,0,0.55,0,0,0,0,0,0.55,0
