stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,17.12,2.14,0,0,0,0,0
21Day,2.68,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,34.8,1.34,0,0,9.37,2.68,0
3Month,0,0,0.32,0,0,0.32,0.32,0,1.28,0.32,0,0,0,0.64,0.32,0,0,0,0.64,0.32,2.56,32.95,0,1.28
22Month,0,0.55,0.55,0,0,0,1.09,0.55,7.11,0,0.55,1.64,0.55,0.55,0,1.09,0.55,0,0,0,1.09,25.15,0,0
