stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,8.17,4.09,0,0,0,0,0,4.09,53.12,0,0,0
72hpf,1.07,1.07,0,0,0,0,2.14,14.98,6.42,2.14,0,0
21Day,2.68,1.34,6.69,0,0,1.34,6.69,5.35,4.02,1.34,0,0
3Month,0,0.96,0,0.32,0.32,0,0,0,0,0,0.32,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0
