stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,8.17,28.6,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,8.56,1.07,0,1.07,0,0,0,1.07,0,1.07,0,9.63,96.28,0,0,0,1.07,0,0,7.49,5.35,0,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,0,2.68,171.33,5.35,9.37,1.34,0,0,0,0,1.34,2.68,2.68,24.09,168.66,2.68,2.68,0,0,0,0,6.69,6.69,1.34,0,0,5.35,2.68,0,0,0,8.03,0,0
3Month,0.32,0.32,3.52,174.69,2.24,0,0,33.91,0.64,0,8.32,2.56,0.32,26.88,15.04,37.75,6.4,2.88,0.96,0.32,6.72,0.96,3.84,0,5.76,0.32,0,0,0.64,4.48,0.32,0,0,16.32,3.2
22Month,0.55,1.09,2.73,44.28,0,0,0,10.93,2.73,6.56,27.88,1.09,0.55,44.28,3.28,7.65,3.28,2.73,0,0.55,5.47,0,1.09,0.55,4.92,0,1.09,0,0,1.09,1.64,0.55,0,0,0.55
