stage,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0
21Day,0,1.34,1.34,0,1.34,0,0,0,1.34,1.34,0,1.34,0,1.34
3Month,0.32,0,0,0,0,0.32,0.32,0,0.32,0,0,0,0.64,0
22Month,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0
