stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,60.23,1.34,0,0,0,0,0,0,0,1.34,0,25.43,4.02,1.34,0,0,0,4.02,0,0,0,0,2.68,0,0
3Month,0.32,34.87,0,0.32,0.64,0.32,0,2.56,0.64,0,1.28,0.64,24.32,2.24,0.64,0.32,0,3.2,0,0,0,0.96,0.64,0,1.28,0.96
22Month,0,11.48,0,0,0,2.73,0,58.49,1.09,1.09,1.64,1.09,10.93,2.73,2.19,0,0.55,2.19,0,0,1.09,0,1.64,0,0,0
