stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,13.91,10.7,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,2.68,8.03,1.34,1.34,0,0,0,0,0,0,0,4.02,0,0,1.34,0,5.35,0,0,16.06,0,4.02,1.34,1.34,0,0,0,0,0,0,4.02,0,1.34
3Month,0.64,4.48,11.52,0,0,0.96,0.96,2.24,2.56,0,8.32,0.96,0,2.88,0.64,2.56,0.64,6.4,0,0,1.6,1.92,1.28,0.32,1.6,0.32,0.32,3.52,3.84,0.64,0,390.98,2.24,3.52
22Month,0,1.64,1.09,0,0,0.55,0.55,1.09,0,119.72,6.56,0,0,1.09,0,2.19,3.28,1.64,0.55,1.09,0.55,0,0,0,0.55,0,0,0,3.83,0,1.09,59.04,0,1.09
