stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0
72hpf,0,1.07,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,23.54,0,2.14,0,6.42,3.21,0,34.23,0,0,2.14,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,40.16,0,1.34,0,4.02,4.02,0,18.74,1.34,0,0,0,0,0
3Month,0,6.72,3.84,0,0,0.32,0.32,2.56,0.32,1.92,0.32,4.8,1.92,0.32,0.96,0.64,2.24,0.96,93.11,15.36,3.2,1.6,2.24,0,2.24,0,1.28,1.6,0.32,17.6,1.6,1.28
22Month,0,2.19,1.09,0,0,0.55,0,0.55,1.09,0,2.19,6.56,0.55,0,0.55,1.09,0,1.09,31.71,1.09,2.19,0,0,0,0,0.55,0,0,0,1.64,0,0
