stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,6.08,6.08,35.83,0.96,5.44,1.28,0,9.6,188.13,0.96,1850.91,657.18,1.28,24.96,5.76,9.92,518.64,20.48,4.16,2.56,7.36,7.68,1.6,0.64,4.16,2.24,0.96,19.52,3.52,18.88,0.96,0,0,10.88,7.04,51.19
22Month,1.64,7.11,4.92,18.59,0.55,9.29,1.64,0.55,5.47,374.46,3.28,5271.94,214.29,3.83,24.6,3.28,3.83,482.15,22.41,0.55,90.2,8.75,0.55,3.28,0,6.56,7.11,1.64,12.03,0.55,5.47,2.19,2.73,0.55,0.55,0,16.95
