stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0
72hpf,0,1.07,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,4.28,3.21,0,0
21Day,0,2.68,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,2.68,0,2.68
3Month,0,17.28,0,0.32,0.64,1.6,0.32,0,1.6,2.24,0.32,0,0.64,0.32,0,1.28,0,0,0,1.28,1.28
22Month,0.55,7.11,0,0,0,62.87,0,0.55,1.64,0,0,0,0,0,1.09,0,0,0.55,0,0,1.64
