stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,89.9,0,0,0,0,0,0,8.17,0,0,0,0,12.26,2893.17,8.17,4.09,0,0,0,0,8.17,298.31,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,17.12,0,0,97.35,7.49,9.63,0,0,0,0,0,0,0,3.21,0,28.88,3049.97,2.14,13.91,0,2.14,0,2.14,109.12,43.86,0,0,20.33,0,0,5.35,0,0,5.35,0,0,0
21Day,8.03,1.34,0,323.93,4.02,18.74,0,1.34,2.68,0,0,2.68,1.34,4.02,1.34,28.11,3271.37,8.03,44.17,0,0,1.34,1.34,22.76,17.4,0,1.34,32.12,8.03,0,0,16.06,26.77,1.34,0,0,2.68
3Month,0,0.64,0.32,257.56,0.32,0,0,0,1.92,0,0,11.2,1.28,0.64,2.88,11.52,9.28,2.88,2.24,0.96,0,0.64,0,3.84,0.32,0.96,0.32,0.32,1.28,4.8,0.32,0,0,0,1.6,1.92,1.28
22Month,0,0.55,0.55,44.28,1.09,0,0.55,0,1.64,0.55,0,28.43,0.55,0.55,2.19,6.56,2.19,11.48,3.28,0,0.55,0,0,1.64,0,0.55,0.55,0,0,2.19,0,0,0,0,1.09,0,1.64
