stage,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,12.26,0,0,4.09,0
72hpf,0,9.63,1.07,0,2.14,0
21Day,6.69,1.34,0,1.34,1.34,0
3Month,0.32,0,0,0,0,0.32
