stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,19.26,1.07,0,0,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,0,3.21,2.14,0,1.07,0,5.35,0,0,0,0,0
21Day,0,1.34,0,6.69,18.74,1.34,0,0,0,0,0,0,0,0,0,0,5.35,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0,0.64,0.64,9.92,3.2,0,0.32,0,2.88,0.96,0,30.08,3.52,0.64,5.44,0.64,2.56,3.52,4.48,0.64,0,0.96,0.32,0.32,0.32,0.32,0,0.64,1.28,4.8,0.32,1.92,2.56
22Month,0.55,0.55,0,8.2,0.55,0,0.55,0.55,1.09,8.75,7.11,146.5,5.47,3.28,6.56,0,2.19,9.29,8.2,0,2.73,2.19,0.55,0.55,1.64,1.64,334.01,0.55,0.55,7.65,0,0,1.64
