stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0,0,0.32,0.32,0,0,0,0.96,1.28
22Month,0.55,1.09,3.83,1.64,0,0.55,0.55,0,0,0
