stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,1.34,0,0,1.34,0,0,6.69,0,0,0,1.34,1.34,0,0,0,0,0,1.34
3Month,0.32,1.92,0,0.32,1.28,70.71,5.76,25.92,0,0.64,1.6,21.44,1.28,0,0.32,0,0.64,1.92,0,0,0.32,0.32,0.96
22Month,0,0.55,0,0,0.55,43.73,8.2,1.64,0,1.09,0,12.57,0,0.55,0,0,0,1.64,0.55,0.55,0,0,0
