stage,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Neural_cell
72hpf,0,0,0,0,17.12
21Day,0,1.34,0,1.34,37.48
3Month,0.32,0,0.64,0.32,0.96
22Month,0,0,3.83,0,6.01
