stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,2.14,2.14,4.28,0,0,0,0,0,2.14,0,4.28,0,373.36,14.98,0,5.35,0,0,3.21,2.14,1.07,0
21Day,0,6.69,0,1.34,0,0,4.02,0,2.68,1.34,0,2.68,0,82.99,8.03,0,0,4.02,0,2.68,0,0,0
3Month,0,0,0,0,0.32,0.32,0,0,0,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,1.09,0,0,0,3.28,0,1.09,0,0,0.55,1.09,0.55,0,0,1.64,0,0,13.67,0,0,0,0
