stage,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0
3Month,1.92,0.32,0.32,0,0.32,0.96,12.16,1.6
