stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1393.46,4.09,8.17,0,0,0,0,0,0,16.35,12.26,0,61.3,0,4.09,0,0,0,0,0,0,0
72hpf,319.87,0,2.14,4.28,0,0,0,0,1.07,0,3.21,4.28,2.14,0,2.14,0,0,0,0,0,0,0
21Day,721.47,0,2.68,10.71,0,1.34,4.02,0,2.68,1.34,0,5.35,1.34,0,2.68,4.02,2.68,1.34,5.35,1.34,0,0
3Month,1.6,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0,0,0,0,0.55,0,7.65,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
