stage,Cardiomyocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,8.17,12.26,0,40.86,0
72hpf,0,0,1.07,3.21,0
21Day,1.34,0,0,1.34,1.34
