stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0
21Day,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,1.28,0,0,0,5.12,1.28,0.32,1.28,0.64,0.32,1.28,0.64,0.32,0,0,0,20.16,0.32,117.74,1.92
22Month,0,0.55,0.55,0.55,3.83,0,0,0.55,0,1.09,0,0,0.55,0,0,0.55,3.83,0,0,0.55
