stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,212.49,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,5.35,0,1.07,0,0,0,0,0,1.07,0,0,489.96,0,5.35,0,0,1.07,12.84,5.35,0,1.07,3.21,0,0,0,0,0
21Day,0,0,13.39,1.34,2.68,0,0,0,0,0,0,0,1.34,101.73,0,0,0,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0
3Month,0,0,1.6,0,0,0.32,0,0,3.52,0,0,0.32,0,0.96,0,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0.96,0.32
22Month,0,0.55,4.37,0,0,0.55,1.09,0.55,24.6,0.55,2.19,2.19,0.55,2.19,1.09,1.64,0,1.09,0,0.55,0,0.55,0,0.55,0.55,1.09,0,0,1.09
