stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,4.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,2.68,0,0,2.68,0,0,8.03,0,0,0,0,0
3Month,0.32,10.88,3.52,127.66,0.96,1.6,0.32,3.84,1.28,0,91.19,3.52,0,51.19,2.24,56.31,2.24,37.43,6.08,0.32,3.2,2.24,1.6,2.88,2.24,5.76,1.6,3.2,11.52,2.24,0.32,1.28,6.4,1.28,0.96
22Month,0,14.76,2.19,21.87,1.64,1.09,0,0.55,2.19,3.83,110.42,0.55,0.55,12.03,0,4.37,2.73,34.44,1.09,6.01,1.64,0,1.09,0.55,1.09,7.65,0.55,0,8.2,3.28,0,0,1.09,0,0.55
