stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34
3Month,0,0,0.32,0,0,0.32,0.32,0,3.2,1.28,0,0.96,0,0.64,93.43,0.96,0,0,0.96,0,0,0,0,0,0,0,0.32,4.48,0,0,0,2.56,14.4
22Month,47.56,0.55,107.14,0.55,7.11,29.52,56.85,1.09,107.69,2.19,329.63,7.11,6.01,12.57,2054.33,22.41,2.73,0.55,0.55,2.19,11.48,3.83,2.73,0.55,0,9.29,0,2.19,0.55,1.64,1.09,0,417.64
