stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,4.09,65.38,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,1.07,10.7,0,0,0,66.33,7.49,1.07,0,7.49,0,0,4.28,0,0,0,0
21Day,0,1.34,2.68,0,0,1.34,0,0,0,0,0,9.37,0,0,0,45.51,5.35,10.71,0,0,4.02,0,2.68,1.34,1.34,0,1.34
3Month,0.96,0,0,0.64,0,1.28,0.64,0.32,0.96,1.6,0,3.2,0.96,0,0.32,0.32,0,2.24,0,0,0.64,0,0,0,0,0.64,0.32
22Month,1.64,0,2.19,0,0,8.2,0,0,6.56,0,0.55,4.37,0,0.55,0.55,1.09,0,9.84,0.55,0,0,4.37,0,0,0,0,0.55
