stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0,2.24,0,0,0,0,0.96,0,4.48,0.32,0,1.28,16,0.32,0,3.84,0.64,0,0.32,25.6,0,0,0.32,0.32,0,0,0.32,6.4,0.32,0,0.64
22Month,0,5.47,0.55,8.2,0,1.64,0.55,2.19,25.69,12.57,80.9,3.83,2.19,7.65,3.83,3.28,5.47,5.47,0,2.73,3.83,0.55,1.64,0.55,0.55,1.64,1388.5,1.09,0,0,2.73,2.19,4.37
