stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,8.17,32.69,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,2.14,1.07,0,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,1.34,0,1.34,2.68,2.68,0,0,0,0,1.34,1.34,0,0,1.34,5.35,5.35,0,2.68,0,1.34,1.34,0,1.34,1.34,0,0,0
3Month,0,0,0,2.24,0,0.32,0.32,0.64,2.24,0.64,0,1.6,0,0.32,0.32,0.96,0,0.32,0.32,0,0,0,0,0,1.6,0.64,0.64
22Month,0,0.55,0,0.55,0,0,0,0,3.83,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,0
