stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,1.07,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,0,96.28,7.49,0,1.07,0,0,0,0,5.35,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,1.34,1.34,0,0,0,2.68,0,0,1.34,0,136.53,17.4,0,4.02,0,0,4.02,2.68,4.02,0,1.34,0,0,0
3Month,0,0,2.88,0,0,0.32,0,2.56,0.32,0,0.64,0.32,0,0,0.64,0.32,0,0,0.64,0.32,0,0,0.64,0,0.32,0,7.36,0,0,0,0.64,3.84,0
22Month,0.55,1.09,1.64,0,0,1.64,1.09,15.31,2.73,0,1.09,0,1.64,1.09,4.92,0,0.55,0.55,0,3.28,0,0.55,0,2.73,0,0,4.92,1.64,0,0,0.55,0,0.55
