stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,4.02,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,2.68,0,0,0
3Month,2.56,0.32,3.52,55.03,0,0.32,0.32,26.56,2.88,0,0.96,0.96,0.64,0.64,0.96,0,0.32,0.32,0,0.64,0.32,0,4.8,27.52,0,0.32,11.2,0.32
22Month,0,0,1.64,1.64,0.55,0,0.55,63.41,1.09,3.28,0,0,0,1.09,0,1.64,0,0,0,0,0,0,2.73,15.85,0.55,0,0,0.55
