stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,1.07,2.14,1.07,0,1.07
21Day,1.34,5.35,1.34,0,2.68,0,0,2.68,0
22Month,0,0,0,1.64,0,0,0,0,0
