stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,20.33,0,0,0,0,0,0,0,0,0,0,0,124.1,0,2.14,0,0,0,0,6.42,3.21,0,0,1.07,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,18.74,24.09,0,0,0,0,0,0,1.34,0,0,4.02,1.34,85.67,1.34,1.34,0,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,4.02
3Month,0.96,3.84,5.76,534.32,7.68,1.6,1.28,13.12,9.28,0.32,0,70.71,10.24,5.12,56.63,12.8,109.1,14.08,22.08,5.44,0.64,10.24,3.2,4.16,0.64,5.44,0.96,0.64,3.2,16.64,0.64,0.32,0,0.64,5.44,9.6,14.4
22Month,1.09,5.47,2.73,108.78,7.65,0.55,1.09,7.65,3.83,0.55,0,86.92,2.73,1.64,22.41,3.83,42.64,6.56,15.31,0,6.01,2.19,0,0.55,1.09,2.19,1.09,1.09,0.55,12.03,1.64,1.64,0,0.55,0,0,0.55
