stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,0,1.07,0,1.07,0,0,4.28,1.07,0,10.7,10.7,2.14,1.07,1.07,0
21Day,1.34,2.68,2.68,0,0,1.34,0,0,0,26.77,2.68,1.34,5.35,1.34,1.34
22Month,0,0,0,0,0.55,0,0,0,1.09,0,0,0,0,0,0
