stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,4.09,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,1.07,1.07,3.21,1.07,0,0,0,0,10.7,0,1.07,0,0,1.07,0,3.21,35.3,3.21,0,1.07,0
21Day,0,1.34,20.08,0,0,0,0,0,20.08,0,6.69,0,0,1.34,1.34,4.02,14.72,1.34,1.34,0,0
3Month,0,0,5.76,0,0.64,0,0.96,0.64,0.96,0,2.24,0.32,0,0.32,0,0,0.64,0,0,0,1.28
22Month,0,0,0.55,0,0,1.09,0.55,0.55,1.09,0.55,1.09,0,0.55,0,0,0.55,0,0,0,0,0.55
