stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0
72hpf,0,4.28,1.07,0,0,0,0,0,0,0,0,2.14,1.07,5.35,0,0,0,2.14,2.14,0,3.21,0,0,0,0,0
21Day,1.34,0,30.79,4.02,1.34,0,1.34,1.34,0,0,0,10.71,0,17.4,0,0,2.68,0,1.34,0,4.02,1.34,0,0,0,4.02
3Month,0,0.64,54.39,0,0.32,0.96,1.6,3.84,1.28,1.6,2.24,44.15,5.44,4.48,0.32,5.76,0.32,0,0.32,0,0,0.96,3.84,0.64,0.96,1.92
22Month,0,0.55,12.57,0,0.55,0,8.2,15.31,0.55,1.64,0.55,12.03,19.13,8.75,1.64,0,0,0,2.19,0.55,0,0,0,0,0,0
