stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,163.46,0,0,4.09,0,0,0,0,0,0,0,0,53.12,8.17,44.95,0,0,0,4.09,465.85,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,2.14,0,2.14,0,0,0,7.49,4.28,0,0,0,0,2.14,0,0,0
21Day,2.68,0,5.35,20.08,0,5.35,0,0,0,0,0,4.02,1.34,0,5.35,2.68,8.03,0,0,0,16.06,4.02,0,1.34,4.02,0,4.02,1.34,0,0
3Month,0,0.32,63.35,0,3.2,0,1.6,0,0,0.96,0.64,0,0.64,4.8,2.88,1.28,0,0,0.64,1.6,0,0,0.32,0,0,1.28,0,0,0.96,1.92
22Month,0,2.19,71.61,0,2.19,0,0.55,4.92,238.89,37.72,2.73,0,8.75,0.55,0.55,8.2,4.92,1.64,2.19,1.64,1.09,0,1.64,0.55,0,1.09,1.09,0,0,2.73
