stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,65.38,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,106.98,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,5.35,1.07,0,0,0,0,0,0,0,0,0
21Day,68.27,0,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,5.35,0,0,17.4,1.34,0,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,0,0,44.47,0.64,0.32,0.96,9.28,0,6.4,1.6,0.32,4.16,10.88,8.64,0.32,0.32,0,0.96,0.64,0,0,0.32,0.64,1.6,0,0,0.64,0.32,0.64
22Month,0,2.73,3.28,16.4,0.55,0,7.65,13.67,8.75,45.92,0.55,0,24.6,6.01,10.39,4.37,0,0.55,2.19,0,0,1.09,0.55,1.09,1.09,0,0,0,0,3.28
