stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,4.02,1.34,0,1.34,0,0,1.34,0,0,0,4.02,1.34,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,15.36,0,1.6,0.64,0,3.2,2.24,0,6.72,0.64,0.96,2.24,0.64,0.32,1.92,0,0.64,0,0.32,2.56,0.32,1.28
22Month,0.55,1.09,0,2.19,0,1.09,6.56,1.64,8.75,1.09,0.55,12.03,0,0,6.01,0,0,0,0.55,0,0.55,0,2.19,0,0.55
