stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,8.17,212.49,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,0,0,0,0,0,0,1.07,0,0,0,1.07,3.21,0,59.91,0,0,106.98,0,51.35,47.07,0,0,0,12.84,0,2.14,1.07,0,0,0,0
21Day,5.35,1.34,4.02,2.68,0,1.34,0,0,0,0,0,2.68,1.34,0,0,0,38.82,0,0,254.32,0,10.71,5.35,2.68,0,0,10.71,4.02,1.34,1.34,0,0,0,2.68
3Month,0.64,7.04,7.68,0,0.32,0,2.56,2.56,0.32,14.72,0.96,0.32,4.16,0.32,2.24,0.64,76.47,3.2,0.32,105.26,0.96,0.32,0,0.64,0,0,1.28,0.96,11.52,0,0.96,7.04,3.52,2.88
22Month,0,5.47,3.83,0,2.73,0,2.19,7.65,1.64,60.13,3.28,1.09,4.37,0,0,3.28,88.56,1.09,1.09,119.72,0,0.55,0,0,2.19,0.55,2.73,0.55,13.12,0,0,0,0,3.28
