stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,14.98,1.07,0,0,0,0,0,0,0,0,1.07,12.84,4.28,7.49,0,0,0,0,21.4,12.84,0,0,0,3.21,1.07,0,0,4.28,3.21,1.07,0,0,0
21Day,10.71,0,0,58.9,0,0,0,0,0,0,0,2.68,1.34,2.68,13.39,1.34,30.79,0,0,2.68,0,8.03,8.03,0,0,0,25.43,5.35,0,0,0,0,0,0,0,1.34
3Month,0.64,3.52,2.24,94.7,0,0.32,24.64,6.72,0,46.71,7.36,1.28,30.72,4.48,31.67,14.08,13.44,4.16,0.32,8.32,1.6,2.24,0.64,4.16,0.64,0,2.24,1.6,0.64,15.68,0,0,0.32,3.2,1.92,2.24
22Month,0,3.28,3.83,47.56,0,0,15.31,9.84,8.2,220.85,4.37,1.64,35.53,0.55,6.56,15.31,5.47,0,2.19,7.65,1.09,0.55,0.55,4.37,0,1.09,0.55,1.09,0,12.03,0.55,1.09,0,1.64,0,2.73
