stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,1.07,0,3.21,0,0,4.28,2.14,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,4.02,0,0,8.03,1.34,1.34,0,0,1.34,0,0,0
3Month,0.96,1.92,0.32,1.6,0,1.92,0.32,2.56,0.96,0.32,2.56,0.64,0.32,0,0,0.64,0.64,0.64,0,0.96,0.32,0.32
22Month,1.09,1.09,0,0,0.55,14.21,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0.55,0,0
