stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,10.7,1.07,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,8.03,0,1.34,0,1.34
3Month,0,0.64,0,0.64,0,0.32,0.64,0.64,0,0.96,0,0.64,0.32,0,0,0,0,0
22Month,0.55,2.19,0.55,0,0.55,1.64,13.67,0,0.55,2.19,1.09,3.83,0,0,0,0,0.55,0
