stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,212.49,0,12.26,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,11.77,4.28,2.14,0,0,0,0,0,0,3.21,0,6.42,376.57,1.07,4.28,0,0,0,0,36.37,8.56,0,1.07,6.42,0,0,0,0,0,0,0
21Day,2.68,0,232.9,6.69,6.69,0,2.68,0,0,4.02,25.43,115.11,1.34,8.03,155.27,9.37,8.03,0,0,1.34,0,6.69,5.35,0,0,1.34,5.35,4.02,0,1.34,1.34,0,61.57
3Month,0,0.32,68.47,0.96,0,0,0,0.64,1.6,8,38.07,0.96,2.88,2.56,2.88,4.16,2.88,1.28,0,0.32,0.64,0.32,0,0.32,0.32,0,1.6,31.04,0.32,0,0,11.2,67.51
22Month,0,1.09,19.68,0.55,0,1.09,0,0.55,2.73,12.03,82,0,1.64,1.64,1.09,4.92,3.28,0,1.09,0,0,0,0,0,0.55,0,0,23.51,0.55,0,0,0.55,28.43
