stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,28.6,0,0,0,0,8.17,302.39,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,2.14,0,3.21,0,8.56,0,4.28,0,0,0,0,0,0,0,0,0,3.21,0,23.54,0,0,0,0,155.12,80.23,0,3.21,0,20.33,0,0,31.02,1.07,0,10.7,0,0,0
21Day,40.16,0,0,28.11,2.68,25.43,0,2.68,0,0,0,1.34,73.62,1.34,8.03,2.68,2.68,22.76,6.69,78.97,0,1.34,1.34,0,740.21,119.13,5.35,147.24,0,155.27,17.4,0,195.43,16.06,14.72,4.02,0,0,1.34
3Month,1.92,4.8,0.96,48.95,3.84,0,1.28,0.32,0.32,2.24,6.4,4.16,22.4,11.84,0.96,19.52,1.28,15.04,7.68,26.88,3.52,0,6.08,1.6,262.68,5.44,30.08,131.18,0,4.8,4.16,8.64,252.76,5.12,0,99.82,20.48,6.08,6.72
22Month,1.09,18.04,6.01,118.62,4.92,0,0,0,0,7.65,19.68,112.06,191.33,6.01,0.55,15.85,1.64,16.95,15.85,266.22,1.09,13.67,6.56,0.55,164.54,6.56,9.29,137.21,1.09,0.55,1.09,42.09,628.11,50.84,0.55,42.64,8.75,0,7.65
