stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,32.69,0,0,0,0,12.26,0,0,0,0,4.09,53.12,0,4.09,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,13.91,1.07,0,0,0,0,0,0,0,0,3.21,51.35,0,0,0,3.21,2.14,0,2.14,0,0,0,0
21Day,0,0,52.2,0,0,1.34,0,0,0,0,1.34,0,5.35,20.08,0,2.68,2.68,2.68,0,0,0,0,0,0,0
3Month,0.32,0.32,14.72,0,0,0.96,0.32,0,2.88,0.64,0,0.96,1.6,3.2,0.32,0,0,0.32,0,0,0,0.64,0.32,0.64,0
22Month,0,0,3.28,0,0.55,0.55,0.55,0,5.47,0,0,0,0.55,0.55,1.09,1.09,0,0.55,0,0.55,0,0,0,0,0.55
