stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.84,3.21,0,2.14,2.14,3.21,0,0,0,0,0,0,0,0,0,1.07,8.56,1.07,4.28,0,0,0,624.76,10.7,1.07,0,0,7.49,0,0,0,4.28,80.23,44.93,2.14,0,0,0
21Day,6.69,0,1.34,12.05,0,5.35,0,0,0,0,0,2.68,0,1.34,1.34,1.34,9.37,0,12.05,0,0,0,144.56,12.05,0,0,0,2.68,5.35,0,4.02,2.68,183.38,611.71,2.68,0,0,6.69
3Month,0,0.64,0.32,10.24,0,0,0,0.32,0.64,0.96,0,12.48,2.88,0.32,4.48,0.96,2.88,2.24,2.24,0,0.64,0.96,2.88,0.32,1.92,0,0,0,1.28,0.32,122.22,0.32,2.88,0.96,0.32,0.96,116.46,1.28
22Month,0.55,2.73,0,8.75,0,0,0.55,0,1.09,1.64,1.64,73.25,1.64,0.55,2.19,0,2.73,4.37,4.37,1.09,1.09,0,3.83,0,6.56,5.47,0.55,0.55,0,0,59.04,0,69.97,0.55,0.55,0,3.83,1.09
