stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell
21Day,0,0,0,2.68,0
3Month,0,0.32,0,0,0.64
22Month,0.55,0,1.09,0,0
