stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,1.34,1.34,0,0,0
3Month,3.2,0,0.64,0,0,0,0.96,0.32,0.32
22Month,1.09,0.55,1.09,1.64,0,0,1.09,0,0
