stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,5.35,0,3.21,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,4.16,0,0.32,2.56,0.64,0,0,4.48,0.96,0.96,0.64,0.64,0.96,1.92,0.32,1.28,0,0.32,0,0,16.32,0.32,27.2,0.64
22Month,0.55,0,0,0,0,0.55,0.55,0,1.09,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
