stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.11,0,0,16.35,65.38,355.52,4.09,0,0,0,0,0,0,0,49.04,0,0,0
72hpf,11.77,1.07,0,5.35,1.07,3.21,0,0,0,0,0,1.07,0,1.07,0,1.07,7.49,2.14,173.31,0,4.28,24.61,197.91,138,0,1.07,27.81,0,0,2.14,1.07,1.07,49.21,0,0,0
21Day,2.68,1.34,1.34,91.02,0,2.68,0,0,0,0,2.68,0,0,4.02,0,0,14.72,2.68,161.96,0,20.08,0,56.22,13.39,0,4.02,5.35,8.03,1.34,2.68,5.35,1.34,4.02,1.34,0,1.34
3Month,0.64,1.6,0.64,100.14,0,0,0.32,2.88,0.64,1.28,0.32,3.84,0.64,0,2.88,3.2,18.24,2.56,23.36,0.64,0.96,0.32,1.28,0,0,1.28,0,1.92,0.64,0,0,0,0.64,1.6,83.83,2.56
22Month,0,1.64,0,85.82,0,0,1.09,0.55,0.55,3.28,83.64,9.84,0.55,3.28,0.55,1.64,20.77,2.19,30.61,0,0,0,3.28,0.55,1.64,0.55,0,0.55,3.83,0.55,0.55,0,1.64,0,0,1.64
