stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,8.17,0,12.26,0,0,0,0,0,0,0,0,8.17,4.09,8.17,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,6.42,0,0,0,0,0,0,0,0,5.35,27.81,4.28,0,0,0,0,2.14,0,0,0,2.14,0,0,0,0
21Day,0,1.34,0,14.72,0,1.34,0,0,1.34,0,2.68,0,6.69,18.74,1.34,1.34,0,5.35,0,1.34,0,0,0,1.34,0,0,1.34,0
3Month,0,0.96,1.6,38.07,0.32,0,9.6,1.28,12.48,0.32,0,7.68,2.24,23.04,3.84,1.92,0.96,6.4,2.24,0.32,0,0.32,0,0.32,0.32,0.96,0,1.28
22Month,0,1.64,0,9.84,0.55,0,4.92,1.64,32.25,1.64,0,14.76,0,8.2,6.01,2.73,0,3.83,0,0.55,0,0.55,0.55,0,0,1.09,0,1.64
