stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0
21Day,5.35,0,1.34,0,1.34,0,0,4.02,2.68,0,1.34,0,0,2.68,0
3Month,0.96,0,0.96,0.32,0,1.6,0.96,0,0,0,0,0.96,0,0,1.92
22Month,0.55,29.52,4.37,0.55,0,1.09,0,0.55,0,0.55,0,1.09,0.55,0,0
