stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,155.28,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,29.95,3.21,0,0,0,0,0,0,1.07,0,0,0,0,539.17,0,3.21,0,1.07,0,0,21.4,4.28,0,0,3.21,0,0,1.07,0,0,0,0
21Day,6.69,0,0,263.69,4.02,0,2.68,0,0,0,0,0,0,2.68,0,18.74,208.81,2.68,8.03,0,0,0,0,9.37,1.34,0,0,8.03,6.69,0,0,5.35,0,0,0
3Month,0.96,1.92,0.96,480.88,0,2.24,0.32,0.32,2.56,3.52,0,11.84,5.12,0.64,7.04,25.28,30.4,5.12,3.52,1.92,0.32,1.92,0.64,2.88,0,0.64,0,0,2.88,5.12,0.32,0,1.92,2.56,4.8
22Month,0,0.55,9.84,190.24,0,1.09,0,0,0.55,2.19,0.55,34.44,0,1.09,13.67,9.84,18.59,4.92,2.73,0,0,2.19,0,3.28,0.55,0.55,0.55,0,0,1.64,0,0,0,0,1.64
