stage,Cardiomyocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,0,0,0,16.35
72hpf,1.07,0,0,0,0,1.07,2.14
21Day,0,0,0,1.34,1.34,0,2.68
22Month,0,1.64,0,0,0,0,0
